Time,Region,Population,livebirths,deaths,employment_rate,unemployment_rate,consumption_expenditures,income
Oct.2000,Japan,126925843,101834,76337,60,4.6,309193,488921
Nov.2000,Japan,126998000,97425,79761,59.9,4.5,297144,457054
Dec.2000,Japan,127027000,100258,87304,59.3,4.4,391556,1035616
Jan.2001,Japan,126912000,100688,94097,58.5,4.7,308912,453748
Feb.2001,Japan,127050000,88920,81460,58.5,4.8,293698,475556
Mar.2001,Japan,126980000,95622,89324,58.7,5.1,339910,481198
Apr.2001,Japan,127052000,94046,82589,59.1,5.1,318509,498080
May.2001,Japan,127011000,100471,79514,59.5,5.1,300346,447510
Jun.2001,Japan,127125000,96111,72588,59.4,5,286054,766471
Jul.2001,Japan,127149000,102453,75845,59.3,4.9,314251,614715
Aug.2001,Japan,127069000,103751,74034,59.2,5,302474,496482
Sep.2001,Japan,127131000,103666,73138,58.7,5.3,283973,447397
Oct.2001,Japan,127316000,104306,79240,58.7,5.2,305653,489834
Nov.2001,Japan,127396000,95562,84009,58.9,5.2,294929,461094
Dec.2001,Japan,127397000,96705,90077,58.3,5,359940,1000728
Jan.2002,Japan,127261000,99401,94339,57.4,5.2,305221,462389
Feb.2002,Japan,127343000,89584,83729,57.3,5.4,273487,477622
Mar.2002,Japan,127272000,96533,88703,57.7,5.7,330380,496351
Apr.2002,Japan,127371000,94724,80096,58.1,5.6,320228,485770
May.2002,Japan,127350000,99513,79601,58.2,5.6,291968,444612
Jun.2002,Japan,127418000,94301,73716,58.3,5.5,289427,745480
Jul.2002,Japan,127445000,103356,77012,58.3,5.2,315699,583862
Aug.2002,Japan,127362000,101786,76166,58.3,5.4,298788,488257
Sep.2002,Japan,127405000,100296,73976,58.1,5.4,295423,440319
Oct.2002,Japan,127486000,98539,80534,58,5.4,304989,475494
Nov.2002,Japan,127527000,91318,87557,58,5.1,289126,439186
Dec.2002,Japan,127564000,95920,92561,57.6,5,356702,939747
Jan.2003,Japan,127400000,97262,108746,56.7,5.4,298734,435989
Feb.2003,Japan,127563000,85593,88900,56.6,5.3,270619,455309
Mar.2003,Japan,127468000,93199,92185,57.2,5.8,321847,456873
Apr.2003,Japan,127623000,92274,84112,57.6,5.8,315074,475037
May.2003,Japan,127672000,96736,82719,58,5.6,287172,429669
Jun.2003,Japan,127733000,92536,75247,58.4,5.3,291742,730617
Jul.2003,Japan,127718000,100196,76920,58.2,5.1,302444,574574
Aug.2003,Japan,127643000,98300,77920,58,5,302283,474973
Sep.2003,Japan,127645000,96136,75151,57.8,5.2,287699,429301
Oct.2003,Japan,127694000,96817,83153,57.7,5.1,299754,467408
Nov.2003,Japan,127704000,89975,83351,57.6,5,289498,435079
Dec.2003,Japan,127750000,95573,92185,57.5,4.5,355228,932887
Jan.2004,Japan,127603000,95135,100468,56.6,4.9,301275,445133
Feb.2004,Japan,127739000,88008,92888,56.6,5,284916,474143
Mar.2004,Japan,127675000,94264,92479,57.1,5,322091,456288
Apr.2004,Japan,127736000,92551,84043,57.8,5,325593,488217
May.2004,Japan,127654000,92892,83194,58.1,4.8,299964,446758
Jun.2004,Japan,127768000,90330,75994,58,4.6,283000,723370
Jul.2004,Japan,127761000,98316,79834,58,4.8,302616,599045
Aug.2004,Japan,127703000,95471,79562,58.2,4.7,301059,476264
Sep.2004,Japan,127730000,96932,76491,57.9,4.6,284946,440187
Oct.2004,Japan,127787000,93410,86282,57.8,4.7,296794,467895
Nov.2004,Japan,127819000,91149,87254,57.5,4.4,287806,442885
Dec.2004,Japan,127838000,93710,95737,57.4,4.1,345643,920100
Jan.2005,Japan,127740000,93825,103730,56.9,4.5,302145,448635
Feb.2005,Japan,127793000,81735,96254,56.6,4.7,272407,469673
Mar.2005,Japan,127714000,90486,108671,56.9,4.8,319333,451360
Apr.2005,Japan,127791000,87132,92055,57.8,4.7,317844,495036
May.2005,Japan,127647000,88042,86777,58.5,4.6,295783,440388
Jun.2005,Japan,127780000,88075,78561,58.3,4.2,284002,720667
Jul.2005,Japan,127773000,91937,80869,58.2,4.3,294764,576129
Aug.2005,Japan,127729000,93383,82609,58.2,4.2,302201,463034
Sep.2005,Japan,127734000,93672,79187,58.4,4.2,288147,427753
Oct.2005,Japan,127767994,91787,85883,58.2,4.5,300146,463838
Nov.2005,Japan,127792000,84934,91445,57.6,4.4,283603,433036
Dec.2005,Japan,127795000,88737,103611,57.3,4,346003,905473
Jan.2006,Japan,127781000,91917,109935,56.9,4.5,294617,437787
Feb.2006,Japan,127776000,83765,93354,57,4.2,269418,461368
Mar.2006,Japan,127761000,91930,96208,57.2,4.4,313350,429948
Apr.2006,Japan,127788000,88901,91146,57.9,4.3,312872,472583
May.2006,Japan,127777000,93213,89017,58.5,4.1,292114,426680
Jun.2006,Japan,127825000,90737,81622,58.4,4.1,280824,684632
Jul.2006,Japan,127854000,94843,83316,58.3,4,292328,613269
Aug.2006,Japan,127876000,96296,83909,58.3,4.1,292087,475866
Sep.2006,Japan,127862000,94197,81036,58.3,4.2,273194,429017
Oct.2006,Japan,127901000,94578,86971,58.4,4.2,294693,467163
Nov.2006,Japan,127925000,91058,92231,58.1,3.9,282860,442147
Dec.2006,Japan,127935000,93251,101482,57.6,3.7,340959,968162
Jan.2007,Japan,127925000,92981,105553,56.9,4,296472,441039
Feb.2007,Japan,127938000,82717,91905,57.1,4.1,272763,471681
Mar.2007,Japan,127908000,90743,102446,57.5,4.2,313563,445076
Apr.2007,Japan,127942000,88373,92666,58.4,4,316163,472446
May.2007,Japan,127925000,93004,90605,58.9,3.8,293231,431013
Jun.2007,Japan,127971000,89876,82642,58.8,3.6,280587,735579
Jul.2007,Japan,128001000,95183,85017,58.5,3.5,291632,592452
Aug.2007,Japan,128024000,95721,88534,58.4,3.7,296035,467786
Sep.2007,Japan,127997000,94131,83458,58.1,4,281448,431793
Oct.2007,Japan,128033000,97238,91948,58.1,4,296984,469981
Nov.2007,Japan,128047000,90873,95177,58.2,3.7,282836,435640
Dec.2007,Japan,128050000,92247,104344,57.9,3.5,351667,950654
Jan.2008,Japan,128026000,92846,110947,57.2,3.9,309826,438998
Feb.2008,Japan,128020000,86107,102911,57,4.1,275827,476282
Mar.2008,Japan,127992000,90324,103314,57.3,4.1,312565,453482
Apr.2008,Japan,128013000,89153,94559,58.2,4.1,310695,469774
May.2008,Japan,127999000,92656,92084,58.6,4,288128,435076
Jun.2008,Japan,128032000,88584,84731,58.4,3.9,281951,737166
Jul.2008,Japan,128063000,96219,88148,58,3.8,298366,587732
Aug.2008,Japan,128075000,94909,88550,58,4.1,291154,488216
Sep.2008,Japan,128043000,96400,85525,57.8,4.1,281433,433502
Oct.2008,Japan,128084000,95872,93239,57.8,3.8,291504,481746
Nov.2008,Japan,128098000,88471,98388,57.8,3.9,284762,439394
Dec.2008,Japan,128099000,93518,106069,57.3,4.1,336976,969449
Jan.2009,Japan,128069000,92481,114879,57,4.2,291440,443337
Feb.2009,Japan,128048000,81984,94863,56.7,4.6,266044,464665
Mar.2009,Japan,128013000,88930,101511,56.5,5.1,310680,443429
Apr.2009,Japan,128022000,88172,94168,57.2,5.2,306340,473779
May.2009,Japan,127996000,88224,93170,57.4,5.2,285530,436123
Jun.2009,Japan,128026000,88366,85266,57,5.2,277237,700239
Jul.2009,Japan,128047000,94992,87311,56.7,5.4,285078,573821
Aug.2009,Japan,128040000,92812,89191,57,5.4,290972,466393
Sep.2009,Japan,128002000,93075,88064,57,5.5,277110,422120
Oct.2009,Japan,128032000,93985,95222,56.7,5.2,287789,459704
Nov.2009,Japan,128055000,86698,97630,56.6,5,284740,428219
Dec.2009,Japan,128059000,92566,106599,56.3,4.8,337887,906884
Jan.2010,Japan,128032000,91632,113672,56.2,4.9,291918,434344
Feb.2010,Japan,128052000,82242,98481,56,5,261163,464866
Mar.2010,Japan,128003000,88842,103749,56.2,5.3,319991,439410
